"Rank","Idea","Tier","Approach and Execution","Value","Action Approach to Realize Value","Risk","Difficulty and Why","Time/Effort Involved"
"1","New Rheumatologist Onboarding","Tier 1: Directly Actionable","Query Komodo for newly credentialed rheumatologists or recent relocations (NPI changes and new billing addresses) within last 12-18 months. Cross-reference against current call universe to identify gaps.","High - First impressions shape years of prescribing behavior. Low-cost patient acquisition with long LTV.","Generate target list quarterly. Brief field force on prioritization. Arm reps with clinical onboarding kits. Track new Rx starts from these HCPs as KPI.","Low - Straightforward data pull with clear field application. No controversial messaging required.","Low - Standard NPI and claims-based filtering. No complex modeling required.","2-3 weeks to initial target list; quarterly refresh"
"2","IBD-Clean Practice Targeting","Tier 1: Directly Actionable","Aggregate IBD diagnosis codes (Crohns and UC) at practice level. Score practices by IBD prevalence in patient panel. Filter for rheumatology practices with bottom-quartile IBD comorbidity.","High - Removes the primary IL-17 objection before it arises. Reps lead with efficacy not defense.","Segment call list into IBD-clean vs IBD-prevalent. Tailor messaging tracks. Measure conversion rate differential between segments.","Low - Uses standard diagnosis code aggregation. Clear clinical rationale.","Low - Simple prevalence calculation at practice level. No predictive modeling.","2-3 weeks; static segmentation with annual refresh"
"3","Non-Rheumatologist Biologic Prescribing","Tier 1: Directly Actionable","Query biologic prescribing (NDC and J-codes) by specialty. Identify dermatologists and physiatrists and PCPs writing biologics for inflammatory arthritis indications. Rank by volume.","High - Untapped call universe with less entrenched brand loyalty. Often overlooked by rheum-focused teams.","Create separate target list for non-rheum prescribers. Consider dedicated specialty overlay or adjusted call routing. Track share gains in this segment.","Medium - May require cross-functional alignment if derm team exists. Messaging needs specialty-appropriate tailoring.","Low to Medium - Straightforward prescribing query but requires specialty code filtering and indication inference.","3-4 weeks; ongoing monitoring"
"4","NP/PA Prescriber Identification","Tier 1: Directly Actionable","Filter Komodo for mid-level providers (NPs and PAs) with biologic prescribing authority in rheumatology or derm settings. Identify those actively writing biologics vs those with potential.","High - Under-called segment with growing prescribing authority. Less brand entrenchment than MDs.","Add qualified mid-levels to call universe. Develop tailored educational materials. Track Rx lift from this segment separately.","Low - Clear data criteria. Growing acceptance of mid-level targeting in pharma.","Low - Standard provider filtering by credential type and prescribing activity.","2-3 weeks; quarterly updates"
"5","Biosimilar Transition as Trigger","Tier 1: Directly Actionable","Identify practices with recent uptick in TNF biosimilar prescribing (Hadlima and Hyrimoz etc) indicating active therapy management. Flag as high-priority for mechanism-of-action switch conversations.","High - Catches physicians in active treatment decision mode. Natural opening for new mechanism discussion.","Time rep visits to biosimilar transition windows. Arm reps with MOA differentiation messaging. Track competitive switches from biosimilar-active practices.","Low to Medium - Requires timely data refresh to catch transition windows.","Medium - Needs rolling biosimilar volume monitoring at practice level.","4-5 weeks initial build; monthly refresh recommended"
"6","Failed JAK Practice Identification","Tier 1: Directly Actionable","Flag practices with elevated JAK inhibitor discontinuation rates or switches away from JAKs. These physicians may have safety concerns making them receptive to IL-17 alternative.","High - Clear safety narrative reps can deliver. Timely given ongoing JAK regulatory scrutiny.","Prioritize JAK-discontinuing practices in call routing. Equip reps with comparative safety messaging. Track conversion rates.","Low - Leverages real prescribing behavior. Safety messaging is on-label.","Medium - Requires discontinuation inference from Rx gaps or therapy switches.","4-5 weeks; quarterly refresh"
"7","Undiagnosed PsA in Dermatology Practices","Tier 1: Directly Actionable","Identify derm practices with high psoriasis volume plus elevated musculoskeletal codes (joint pain and enthesopathy) or NSAID prescribing patterns suggesting undiagnosed PsA.","Very High - Market creation opportunity. These patients need a biologic covering both skin and joints.","Target high-signal derm practices with disease education. Partner with medical affairs for PsA awareness initiatives. Track biologic initiation from flagged practices.","Medium - Requires inference from indirect signals. Messaging is educational not promotional.","Medium - Multi-code pattern matching at practice level. Not complex but requires clinical logic validation.","5-6 weeks; semi-annual refresh"
"8","Clinical Moment Mapping","Tier 1: Directly Actionable","Track practice-level surges in imaging orders (MRI and ultrasound) and steroid injections and rheumatology referrals indicating active disease management moments. Time rep engagement accordingly.","High - Optimizes when to show up not just where. Catches practices during peak decision-making.","Generate monthly practice-level activity scores. Route reps to high-activity practices. Test conversion lift vs static targeting.","Low to Medium - Requires ongoing data refresh and field coordination on timing.","Medium - Rolling aggregation and anomaly detection at practice level.","6-8 weeks initial build; monthly updates"
"9","Axial SpA Diagnostic Delay Opportunity","Tier 2: Actionable with Targeted Messaging","Identify practices with patterns suggesting undiagnosed axSpA: chronic low back pain in younger adults plus repeated NSAIDs plus sacroiliac imaging but no rheumatology follow-through.","Very High - Market creation in underdiagnosed population. Bimzelx has strong axSpA data.","Target high-signal practices with disease education. Partner with medical affairs on axSpA awareness. Track referral and diagnosis rates from flagged practices.","Medium - Requires physician education on diagnostic criteria. Longer sales cycle.","Medium to High - Complex multi-signal pattern matching. Needs clinical validation of logic.","8-10 weeks; annual refresh"
"10","Infusion-to-Subcutaneous Conversion","Tier 2: Actionable with Targeted Messaging","Identify practices with high infusion biologic volume (Remicade and Inflectra and infliximab biosimilars). These may be receptive to SQ convenience especially if capacity-constrained.","Medium to High - Clear value proposition around convenience and capacity. Differentiated positioning.","Segment infusion-heavy practices. Develop messaging around administration convenience and site-of-care flexibility. Track SQ conversion rates.","Medium - Infusion revenue may create inertia. Requires understanding practice economics.","Low to Medium - Straightforward J-code volume aggregation by practice.","3-4 weeks; static segmentation"
